2026-06-28 21:40:03 eval-1        | === RUN   TestSemanticCacheEval
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0036] direct_hit             got=direct_hit    latency=1ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0037] direct_hit             got=direct_hit    latency=1ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0038] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0039] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0040] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0041] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0042] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0043] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0044] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0045] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0046] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0047] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0048] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0049] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0050] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0051] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0052] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0053] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:40 eval-1        |     eval_test.go:310: PASS [tc-0054] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:303: FAIL [tc-0055] direct_hit             expected=direct_hit    got=semantic_hit  sim=0.8404
2026-06-28 21:41:41 eval-1        |                Same customer query asked again — must always be a direct hit.
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0056] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0057] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0058] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0059] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0060] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0061] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0062] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0063] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0064] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0065] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0066] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0067] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0068] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0069] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0070] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0071] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0072] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0073] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0074] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0075] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0076] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0077] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0078] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0079] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0080] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0081] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0082] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0083] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0084] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0085] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0086] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0087] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0088] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0089] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0090] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0091] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0092] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0093] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0094] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0095] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0096] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0097] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0098] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0099] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0100] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0101] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0102] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0103] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0104] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0105] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0106] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0107] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0108] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0109] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0110] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0111] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0112] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0113] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0114] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0115] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0116] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0117] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0118] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0119] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:310: PASS [tc-0120] direct_hit             got=direct_hit    latency=0ms
2026-06-28 21:41:41 eval-1        |     eval_test.go:303: FAIL [tc-0121] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:41 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:42 eval-1        |     eval_test.go:303: FAIL [tc-0122] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:42 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:43 eval-1        |     eval_test.go:303: FAIL [tc-0123] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:43 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:43 eval-1        |     eval_test.go:303: FAIL [tc-0124] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:43 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:44 eval-1        |     eval_test.go:310: PASS [tc-0125] semantic_hit           got=semantic_hit  latency=544ms sim=0.8694
2026-06-28 21:41:44 eval-1        |     eval_test.go:303: FAIL [tc-0126] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:44 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:45 eval-1        |     eval_test.go:303: FAIL [tc-0127] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:45 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:45 eval-1        |     eval_test.go:310: PASS [tc-0128] semantic_hit           got=semantic_hit  latency=545ms sim=0.8508
2026-06-28 21:41:46 eval-1        |     eval_test.go:310: PASS [tc-0129] semantic_hit           got=semantic_hit  latency=444ms sim=0.8639
2026-06-28 21:41:46 eval-1        |     eval_test.go:303: FAIL [tc-0130] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:46 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:47 eval-1        |     eval_test.go:310: PASS [tc-0131] semantic_hit           got=semantic_hit  latency=563ms sim=0.8477
2026-06-28 21:41:48 eval-1        |     eval_test.go:310: PASS [tc-0132] semantic_hit           got=semantic_hit  latency=531ms sim=0.8745
2026-06-28 21:41:48 eval-1        |     eval_test.go:303: FAIL [tc-0133] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:48 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:49 eval-1        |     eval_test.go:303: FAIL [tc-0134] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:49 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:49 eval-1        |     eval_test.go:303: FAIL [tc-0135] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:49 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:50 eval-1        |     eval_test.go:303: FAIL [tc-0136] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:50 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:50 eval-1        |     eval_test.go:303: FAIL [tc-0137] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:50 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:51 eval-1        |     eval_test.go:303: FAIL [tc-0138] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:51 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:52 eval-1        |     eval_test.go:303: FAIL [tc-0139] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:52 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:52 eval-1        |     eval_test.go:303: FAIL [tc-0140] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:52 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:53 eval-1        |     eval_test.go:303: FAIL [tc-0141] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:53 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:53 eval-1        |     eval_test.go:303: FAIL [tc-0142] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:53 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:54 eval-1        |     eval_test.go:303: FAIL [tc-0143] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:54 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:55 eval-1        |     eval_test.go:303: FAIL [tc-0144] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:55 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:55 eval-1        |     eval_test.go:303: FAIL [tc-0145] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:55 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:55 eval-1        |     eval_test.go:303: FAIL [tc-0146] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:55 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:56 eval-1        |     eval_test.go:303: FAIL [tc-0147] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:56 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:57 eval-1        |     eval_test.go:303: FAIL [tc-0148] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:57 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:57 eval-1        |     eval_test.go:303: FAIL [tc-0149] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:57 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:58 eval-1        |     eval_test.go:303: FAIL [tc-0150] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:58 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:58 eval-1        |     eval_test.go:303: FAIL [tc-0151] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:58 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:59 eval-1        |     eval_test.go:303: FAIL [tc-0152] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:59 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:41:59 eval-1        |     eval_test.go:303: FAIL [tc-0153] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:41:59 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:00 eval-1        |     eval_test.go:303: FAIL [tc-0154] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:00 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:00 eval-1        |     eval_test.go:303: FAIL [tc-0155] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:00 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:01 eval-1        |     eval_test.go:310: PASS [tc-0156] semantic_hit           got=semantic_hit  latency=544ms sim=0.8665
2026-06-28 21:42:01 eval-1        |     eval_test.go:310: PASS [tc-0157] semantic_hit           got=semantic_hit  latency=539ms sim=0.8953
2026-06-28 21:42:02 eval-1        |     eval_test.go:303: FAIL [tc-0158] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:02 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:02 eval-1        |     eval_test.go:303: FAIL [tc-0159] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:02 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:03 eval-1        |     eval_test.go:303: FAIL [tc-0160] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:03 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:04 eval-1        |     eval_test.go:303: FAIL [tc-0161] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:04 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:05 eval-1        |     eval_test.go:303: FAIL [tc-0162] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:05 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:05 eval-1        |     eval_test.go:303: FAIL [tc-0163] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:05 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:06 eval-1        |     eval_test.go:303: FAIL [tc-0164] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:06 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:07 eval-1        |     eval_test.go:303: FAIL [tc-0165] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:07 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:07 eval-1        |     eval_test.go:303: FAIL [tc-0166] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:07 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:08 eval-1        |     eval_test.go:303: FAIL [tc-0167] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:08 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:08 eval-1        |     eval_test.go:310: PASS [tc-0168] semantic_hit           got=semantic_hit  latency=564ms sim=0.8558
2026-06-28 21:42:09 eval-1        |     eval_test.go:310: PASS [tc-0169] semantic_hit           got=semantic_hit  latency=664ms sim=0.8645
2026-06-28 21:42:10 eval-1        |     eval_test.go:303: FAIL [tc-0170] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:10 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:10 eval-1        |     eval_test.go:303: FAIL [tc-0171] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:10 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:11 eval-1        |     eval_test.go:303: FAIL [tc-0172] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:11 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:12 eval-1        |     eval_test.go:303: FAIL [tc-0173] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:12 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:12 eval-1        |     eval_test.go:303: FAIL [tc-0174] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:12 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:13 eval-1        |     eval_test.go:303: FAIL [tc-0175] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:13 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:13 eval-1        |     eval_test.go:303: FAIL [tc-0176] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:13 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:14 eval-1        |     eval_test.go:303: FAIL [tc-0177] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:14 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:14 eval-1        |     eval_test.go:303: FAIL [tc-0178] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:14 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:15 eval-1        |     eval_test.go:303: FAIL [tc-0179] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:15 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:15 eval-1        |     eval_test.go:303: FAIL [tc-0180] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:15 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:16 eval-1        |     eval_test.go:303: FAIL [tc-0181] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
2026-06-28 21:42:16 eval-1        |                Same intent rephrased — should exceed similarity threshold.
2026-06-28 21:42:17 eval-1        |     eval_test.go:303: FAIL [tc-0182] semantic_hit           expected=semantic_hit  got=miss          sim=n/a
